date_time,open,high,low,close,volume
11-12-2023,74.87,74.98,63.4,70.26,2466057.103
12-12-2023,70.26,72.42,65.74,68.59,1506272.615
13-12-2023,68.59,73,63.66,70.62,1449764.577
14-12-2023,70.62,76.28,68.09,75.73,1586183.095
15-12-2023,75.73,79.53,72.12,72.49,1719521.39
16-12-2023,72.49,77.44,71.23,73.71,899981.006
17-12-2023,73.71,75.07,70.52,70.88,715329.324
18-12-2023,70.88,75.47,66.95,74.42,1199437.646
19-12-2023,74.42,76.37,71.8,73.01,1045071.855
20-12-2023,73.01,84.14,72.97,82.23,2215198.011
21-12-2023,82.23,95.53,81.06,93.84,2609486.9
22-12-2023,93.84,99.66,90.39,97.88,2516904.789
23-12-2023,97.88,110.29,92.79,107.88,1779516.621
24-12-2023,107.88,118.2,107.32,112.4,2350300.799
25-12-2023,112.4,126.63,107.45,120.9,2199926.388
26-12-2023,120.9,121.35,101.93,112.43,3178050.122
27-12-2023,112.43,115.41,104.66,106.88,1955764.027
28-12-2023,106.88,109.67,97.21,101.79,2068360.63
29-12-2023,101.79,110.1,99.38,106.15,1699766.175
30-12-2023,106.15,107.46,100.63,101.88,772781.56
31-12-2023,101.88,105.25,99.57,101.73,655024.406
01-01-2024,101.73,109.95,101.41,109.93,716962.862
02-01-2024,109.93,116.95,106.03,106.73,1212018.227
03-01-2024,106.73,109.91,81.81,98.55,2699619.578
04-01-2024,98.55,108.15,96.61,104.91,1282689.703
05-01-2024,104.91,105.47,95.25,99.93,1419690.81
06-01-2024,99.93,100.3,91.51,93.76,1011800.837
07-01-2024,93.76,96.76,87.7,89.41,987397.838
08-01-2024,89.41,99.91,85.11,97.9,1624668.977
09-01-2024,97.9,105.4,95.23,99.36,2225757.516
10-01-2024,99.36,105.57,92.14,102.01,1935001.32
11-01-2024,102.01,107.25,97.58,99.91,1804684.757
12-01-2024,99.91,100.5,86.26,92.11,1169586.132
13-01-2024,92.11,97.07,89.48,95.84,644994.769
14-01-2024,95.84,102.9,93.67,93.82,1059800.718
15-01-2024,93.82,97.01,93.02,94.39,628933.085
16-01-2024,94.39,98.72,94.16,97.59,736500.305
17-01-2024,97.59,102.89,96.63,102.11,1499400.795
18-01-2024,102.11,103.58,91.38,94.4,1144752.061
19-01-2024,94.4,95.47,87.01,93.61,1100168.649
20-01-2024,93.61,94.24,90.19,92.89,624237.475
21-01-2024,92.89,93.94,90.8,91.09,440091.249
22-01-2024,91.09,91.89,82.03,83.83,1551423.226
23-01-2024,83.83,85.95,78.89,84.36,1861661.566
24-01-2024,84.36,89.43,83.31,88.77,1143775.648
25-01-2024,88.77,89.63,85.05,86.92,906855.064
26-01-2024,86.92,93.73,85.95,92.29,792811.953
27-01-2024,92.29,94.57,90.7,94.26,436065.869
28-01-2024,94.26,99.45,93.28,95.98,858806.45
